happiness_rank,country,happiness_score,upper_confidence_interval,lower_confidence_interval,dystopia_residual,explained_by:_gdp_per_capita,explained_by:_social_support,explained_by:_healthy_life_expectancy,explained_by:_freedom_to_make_life_choices,explained_by:_generosity,explained_by:_perceptions_of_corruption,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,logged_gdp_per_capita
1.0,Finland,7.821,7.886,7.756,2.518,1.892,1.258,0.775,0.736,0.109,0.534,0.5241666666666667,31.0,0.6690909090909091,0.18166666666666667,0.0,8.595396846431242
2.0,Denmark,7.636,7.71,7.563,2.226,1.953,1.243,0.777,0.719,0.188,0.532,0.5179166666666667,31.08,0.6536363636363636,0.31333333333333335,0.0,8.627123250788435
3.0,Iceland,7.557,7.651,7.464,2.32,1.936,1.32,0.803,0.718,0.27,0.191,0.55,32.12,0.6527272727272726,0.45000000000000007,0.0,8.618382161119506
4.0,Switzerland,7.512,7.586,7.437,2.153,2.026,1.226,0.822,0.677,0.147,0.461,0.5108333333333334,32.879999999999995,0.6154545454545455,0.245,0.0,8.663813548582478
5.0,Netherlands,7.415,7.471,7.359,2.137,1.945,1.206,0.787,0.651,0.271,0.419,0.5025000000000001,31.48,0.5918181818181818,0.4516666666666667,0.0,8.623019312948538
6.0,Luxembourg,7.404,7.501,7.307,2.042,2.209,1.155,0.79,0.7,0.12,0.388,0.48125,31.6,0.6363636363636362,0.2,0.0,8.75027575810234
7.0,Sweden,7.384,7.454,7.315,2.003,1.92,1.204,0.803,0.724,0.218,0.512,0.5016666666666667,32.12,0.6581818181818181,0.36333333333333334,0.0,8.610084864574064
8.0,Norway,7.365,7.44,7.29,1.925,1.997,1.239,0.786,0.728,0.217,0.474,0.5162500000000001,31.44,0.6618181818181817,0.3616666666666667,0.0,8.649398705452088
9.0,Israel,7.364,7.426,7.301,2.634,1.826,1.221,0.818,0.568,0.155,0.143,0.50875,32.72,0.5163636363636362,0.25833333333333336,0.0,8.55989684308022
10.0,New Zealand,7.2,7.279,7.12,1.954,1.852,1.235,0.752,0.68,0.245,0.483,0.5145833333333334,30.08,0.6181818181818182,0.4083333333333333,0.0,8.57403250673062
11.0,Austria,7.163,7.237,7.089,2.148,1.931,1.165,0.774,0.623,0.193,0.329,0.4854166666666667,30.96,0.5663636363636363,0.3216666666666667,0.0,8.615796643739474
12.0,Australia,7.162,7.244,7.081,2.011,1.9,1.203,0.772,0.676,0.258,0.341,0.5012500000000001,30.88,0.6145454545454545,0.43000000000000005,0.0,8.59961548321485
13.0,Ireland,7.041,7.121,6.961,1.743,2.129,1.166,0.779,0.627,0.19,0.408,0.48583333333333334,31.16,0.57,0.3166666666666667,0.0,8.713394172310794
14.0,Germany,7.034,7.122,6.947,2.142,1.924,1.088,0.776,0.585,0.163,0.358,0.45333333333333337,31.04,0.5318181818181817,0.27166666666666667,0.0,8.612165651862137
15.0,Canada,7.025,7.107,6.943,1.924,1.886,1.188,0.783,0.659,0.217,0.368,0.495,31.32,0.5990909090909091,0.3616666666666667,0.0,8.59222114841736
16.0,United States,6.977,7.065,6.888,2.214,1.982,1.182,0.628,0.574,0.22,0.177,0.4925,25.119999999999997,0.5218181818181817,0.3666666666666667,0.0,8.64186041310229
17.0,United Kingdom,6.943,7.018,6.867,1.967,1.867,1.143,0.75,0.597,0.289,0.329,0.47625,30.0,0.5427272727272726,0.48166666666666663,0.0,8.582097716994582
18.0,Czechia,6.92,7.029,6.811,2.263,1.815,1.26,0.715,0.66,0.158,0.048,0.525,28.599999999999998,0.6,0.26333333333333336,0.0,8.553855690072439
19.0,Belgium,6.805,6.89,6.72,2.283,1.907,1.106,0.764,0.492,0.049,0.204,0.4608333333333334,30.56,0.4472727272727272,0.08166666666666668,0.0,8.603292247605872
20.0,France,6.687,6.758,6.615,1.895,1.863,1.219,0.808,0.567,0.07,0.266,0.5079166666666667,32.32,0.5154545454545454,0.11666666666666668,0.0,8.579953346483538
21.0,Bahrain,6.647,6.779,6.514,2.092,1.854,1.029,0.625,0.693,0.199,0.155,0.42874999999999996,25.0,0.6299999999999999,0.3316666666666667,0.0,8.575111633821608
22.0,Slovenia,6.63,6.718,6.542,1.885,1.81,1.249,0.769,0.685,0.118,0.115,0.5204166666666667,30.759999999999998,0.6227272727272727,0.19666666666666666,0.0,8.551097600230694
23.0,Costa Rica,6.582,6.683,6.481,2.346,1.584,1.054,0.744,0.661,0.089,0.102,0.4391666666666667,29.759999999999998,0.6009090909090908,0.14833333333333334,0.0,8.417751632061032
24.0,United Arab Emirates,6.576,6.66,6.492,1.809,1.998,0.98,0.633,0.702,0.204,0.25,0.4083333333333333,25.32,0.6381818181818181,0.33999999999999997,0.0,8.649899243540972
25.0,Saudi Arabia,6.523,6.637,6.409,2.075,1.87,1.092,0.577,0.651,0.078,0.18,0.45500000000000007,23.08,0.5918181818181818,0.13,0.0,8.583702982609383
26.0,Taiwan Province of China,6.512,6.596,6.429,2.002,1.897,1.095,0.733,0.542,0.075,0.168,0.45625,29.319999999999997,0.49272727272727274,0.125,0.0,8.598035579260339
27.0,Singapore,6.48,6.569,6.392,0.932,2.149,1.127,0.851,0.672,0.163,0.587,0.46958333333333335,34.04,0.6109090909090908,0.27166666666666667,0.0,8.7227428743294
28.0,Romania,6.477,6.575,6.379,2.446,1.719,1.006,0.655,0.605,0.039,0.006,0.4191666666666667,26.2,0.5499999999999999,0.065,0.0,8.499523715904596
29.0,Spain,6.476,6.56,6.392,1.893,1.808,1.211,0.808,0.505,0.101,0.149,0.5045833333333334,32.32,0.45909090909090905,0.16833333333333336,0.0,8.549992230786618
30.0,Uruguay,6.474,6.562,6.386,1.974,1.615,1.18,0.672,0.665,0.103,0.265,0.49166666666666664,26.88,0.6045454545454545,0.17166666666666666,0.0,8.437129054941677
31.0,Italy,6.467,6.57,6.363,2.222,1.834,1.052,0.801,0.412,0.085,0.059,0.43833333333333335,32.04,0.3745454545454545,0.1416666666666667,0.0,8.564267598802166
32.0,Kosovo,6.455,6.571,6.339,2.631,1.362,0.949,0.569,0.599,0.309,0.035,0.39541666666666664,22.759999999999998,0.5445454545454544,0.515,0.0,8.266788553232416
33.0,Malta,6.447,6.535,6.359,1.631,1.838,1.169,0.789,0.679,0.174,0.166,0.48708333333333337,31.56,0.6172727272727273,0.29,0.0,8.566445833660211
34.0,Lithuania,6.446,6.535,6.356,2.153,1.804,1.204,0.659,0.496,0.053,0.077,0.5016666666666667,26.36,0.45090909090909087,0.08833333333333333,0.0,8.54777781960687
35.0,Slovakia,6.391,6.475,6.306,2.094,1.736,1.232,0.707,0.479,0.118,0.025,0.5133333333333333,28.279999999999998,0.4354545454545454,0.19666666666666666,0.0,8.509362612301048
36.0,Estonia,6.341,6.415,6.266,1.442,1.793,1.232,0.728,0.689,0.123,0.333,0.5133333333333333,29.119999999999997,0.6263636363636362,0.20500000000000002,0.0,8.54166278262351
37.0,Panama,6.309,6.464,6.154,2.086,1.715,1.107,0.709,0.592,0.049,0.051,0.46125,28.359999999999996,0.5381818181818181,0.08166666666666668,0.0,8.497194544909547
38.0,Brazil,6.293,6.384,6.202,2.361,1.462,1.044,0.615,0.546,0.131,0.134,0.43500000000000005,24.599999999999998,0.49636363636363634,0.21833333333333335,0.0,8.337622134242068
39.0,Guatemala,6.262,6.46,6.064,2.746,1.274,0.831,0.522,0.662,0.112,0.115,0.34625,20.88,0.6018181818181818,0.18666666666666668,0.0,8.200013648175434
40.0,Kazakhstan,6.234,6.33,6.138,1.86,1.668,1.22,0.611,0.584,0.134,0.157,0.5083333333333333,24.439999999999998,0.5309090909090909,0.22333333333333336,0.0,8.469412517539979
41.0,Cyprus,6.221,6.32,6.122,2.044,1.815,0.909,0.819,0.448,0.123,0.062,0.37875000000000003,32.76,0.40727272727272723,0.20500000000000002,0.0,8.553855690072439
42.0,Latvia,6.18,6.255,6.106,1.923,1.732,1.221,0.637,0.502,0.075,0.09,0.50875,25.48,0.4563636363636363,0.125,0.0,8.507056271727883
43.0,Serbia,6.178,6.294,6.062,2.031,1.55,1.086,0.658,0.546,0.219,0.088,0.45250000000000007,26.32,0.49636363636363634,0.365,0.0,8.396058115373144
44.0,Chile,6.172,6.262,6.082,2.04,1.651,1.08,0.748,0.46,0.124,0.069,0.45000000000000007,29.919999999999998,0.41818181818181815,0.20666666666666667,0.0,8.4591705386832
45.0,Nicaragua,6.165,6.312,6.017,2.418,1.105,1.029,0.617,0.617,0.168,0.212,0.42874999999999996,24.68,0.5609090909090909,0.28,0.0,8.057739430379796
46.0,Mexico,6.128,6.238,6.017,2.239,1.552,0.886,0.623,0.621,0.092,0.115,0.3691666666666667,24.919999999999998,0.5645454545454545,0.15333333333333335,0.0,8.39734731528097
47.0,Croatia,6.125,6.229,6.022,1.884,1.705,1.183,0.709,0.535,0.109,0.0,0.4929166666666667,28.359999999999996,0.48636363636363633,0.18166666666666667,-0.0,8.491347771741903
48.0,Poland,6.123,6.205,6.04,1.693,1.758,1.174,0.712,0.523,0.124,0.14,0.48916666666666664,28.479999999999997,0.4754545454545454,0.20666666666666667,0.0,8.521953272802898
49.0,El Salvador,6.12,6.25,5.99,2.514,1.265,0.768,0.607,0.666,0.089,0.212,0.32,24.279999999999998,0.6054545454545455,0.14833333333333334,0.0,8.192926167233386
