country,happiness_score,standard_error_of_happiness_score,upper_confidence_interval,lower_confidence_interval,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by:_log_gdp_per_capita,explained_by:_social_support,explained_by:_healthy_life_expectancy,explained_by:_freedom_to_make_life_choices,explained_by:_generosity,explained_by:_perceptions_of_corruption,dystopia_residual,happiness_rank
Lithuania,6.763,0.044,6.851,6.675,10.568,0.939,67.397,0.748,-0.145,0.805,1.778,1.808,1.511,0.432,0.487,0.059,0.089,2.377,20.0
France,6.661,0.038,6.736999999999999,6.585,10.701,0.909,72.3,0.819,-0.1,0.553,1.778,1.856,1.433,0.566,0.582,0.083,0.27,1.872,21.0
Slovenia,6.65,0.051,6.752000000000001,6.548,10.588,0.951,71.052,0.913,0.014,0.771,1.778,1.815,1.539,0.532,0.707,0.144,0.113,1.799,22.0
Costa Rica,6.609,0.052,6.713,6.505,9.952,0.872,70.0,0.895,-0.07,0.768,1.778,1.587,1.34,0.503,0.683,0.099,0.116,2.281,23.0
Romania,6.589,0.052,6.6930000000000005,6.485,10.339,0.848,67.051,0.856,-0.172,0.929,1.778,1.726,1.28,0.423,0.631,0.044,0.0,2.485,24.0
Singapore,6.587,0.068,6.723,6.451,11.571,0.878,73.8,0.878,0.063,0.146,1.778,2.168,1.354,0.607,0.66,0.17,0.561,1.067,25.0
United Arab Emirates,6.571,0.043,6.657,6.484999999999999,11.145,0.826,66.243,0.942,0.096,0.584,1.778,2.015,1.223,0.401,0.745,0.188,0.247,1.752,26.0
Taiwan Province of China,6.535,0.047,6.6290000000000004,6.441,10.797,0.884,69.6,0.804,-0.129,0.681,1.778,1.89,1.372,0.492,0.562,0.067,0.178,1.974,27.0
Uruguay,6.494,0.046,6.585999999999999,6.402,10.037,0.913,67.5,0.895,-0.065,0.575,1.778,1.617,1.445,0.435,0.683,0.102,0.254,1.958,28.0
Slovakia,6.469,0.056,6.581,6.357,10.353,0.953,68.838,0.753,-0.016,0.898,1.778,1.731,1.544,0.472,0.494,0.128,0.022,2.078,29.0
Saudi Arabia,6.463,0.061,6.585,6.341,10.715,0.884,64.399,0.894,-0.081,0.691,1.778,1.861,1.37,0.351,0.682,0.093,0.17,1.936,30.0
Estonia,6.455,0.04,6.535,6.375,10.541,0.946,69.65,0.929,0.032,0.409,1.778,1.798,1.526,0.494,0.728,0.153,0.372,1.383,31.0
Spain,6.436,0.042,6.52,6.352,10.54,0.932,72.35,0.782,-0.066,0.711,1.778,1.798,1.491,0.567,0.533,0.101,0.157,1.789,32.0
Italy,6.405,0.054,6.513,6.297000000000001,10.634,0.882,72.05,0.711,-0.074,0.842,1.778,1.832,1.365,0.559,0.438,0.097,0.063,2.052,33.0
Kosovo,6.368,0.06,6.488,6.248,9.359,0.844,65.195,0.861,0.259,0.866,1.778,1.374,1.269,0.372,0.639,0.275,0.045,2.393,34.0
Chile,6.334,0.046,6.425999999999999,6.242,10.114,0.889,70.3,0.792,-0.011,0.823,1.778,1.645,1.384,0.511,0.546,0.131,0.076,2.04,35.0
Mexico,6.33,0.057,6.444,6.216,9.85,0.804,65.8,0.856,-0.094,0.768,1.778,1.55,1.169,0.389,0.632,0.086,0.115,2.389,36.0
Malta,6.3,0.045,6.39,6.21,10.661,0.923,71.6,0.886,0.119,0.729,1.778,1.841,1.468,0.547,0.671,0.2,0.143,1.429,37.0
Panama,6.265,0.081,6.427,6.103,10.305,0.896,68.95,0.855,-0.133,0.878,1.778,1.714,1.402,0.475,0.63,0.065,0.036,1.943,38.0
Poland,6.26,0.042,6.343999999999999,6.176,10.453,0.925,69.049,0.765,-0.031,0.736,1.778,1.767,1.474,0.477,0.511,0.12,0.139,1.772,39.0
Nicaragua,6.259,0.076,6.4110000000000005,6.107,8.618,0.853,65.65,0.877,0.021,0.625,1.778,1.109,1.292,0.385,0.66,0.148,0.218,2.448,40.0
Latvia,6.213,0.042,6.297,6.1290000000000004,10.37,0.937,66.4,0.818,-0.056,0.83,1.778,1.737,1.505,0.405,0.58,0.107,0.071,1.808,41.0
Bahrain,6.173,0.1,6.373,5.973,10.776,0.844,65.825,0.944,0.117,0.737,1.778,1.883,1.269,0.389,0.748,0.199,0.138,1.546,42.0
Guatemala,6.15,0.108,6.3660000000000005,5.934,9.116,0.812,62.9,0.856,-0.057,0.837,1.778,1.287,1.188,0.31,0.631,0.106,0.066,2.562,43.0
Kazakhstan,6.144,0.048,6.24,6.048,10.166,0.931,65.802,0.853,0.0,0.721,1.778,1.664,1.491,0.389,0.628,0.136,0.149,1.688,44.0
Serbia,6.144,0.079,6.3020000000000005,5.986,9.854,0.873,67.088,0.845,0.204,0.816,1.778,1.552,1.343,0.424,0.617,0.246,0.081,1.881,44.0
Cyprus,6.13,0.054,6.2379999999999995,6.022,10.611,0.826,72.802,0.724,-0.06,0.86,1.778,1.824,1.224,0.58,0.455,0.104,0.05,1.893,46.0
Japan,6.129,0.042,6.212999999999999,6.045,10.616,0.894,74.349,0.799,-0.237,0.64,1.778,1.825,1.396,0.622,0.556,0.009,0.207,1.513,47.0
Croatia,6.125,0.057,6.239,6.011,10.341,0.917,68.95,0.757,-0.093,0.925,1.778,1.727,1.455,0.475,0.5,0.087,0.003,1.88,48.0
Brazil,6.125,0.065,6.255,5.995,9.582,0.836,65.749,0.801,-0.009,0.738,1.778,1.454,1.25,0.387,0.558,0.131,0.137,2.205,48.0
El Salvador,6.122,0.069,6.26,5.984,9.089,0.755,65.597,0.918,-0.108,0.62,1.778,1.278,1.044,0.383,0.713,0.079,0.222,2.403,50.0
Hungary,6.041,0.055,6.151000000000001,5.931,10.419,0.943,67.5,0.758,-0.059,0.839,1.778,1.754,1.519,0.435,0.501,0.105,0.065,1.663,51.0
Argentina,6.024,0.063,6.15,5.898,9.959,0.891,67.2,0.823,-0.089,0.814,1.778,1.59,1.388,0.427,0.587,0.088,0.082,1.861,52.0
Honduras,6.023,0.089,6.201,5.845,8.635,0.766,64.063,0.843,0.097,0.843,1.778,1.115,1.072,0.341,0.613,0.189,0.062,2.631,53.0
Uzbekistan,6.014,0.059,6.132000000000001,5.896,8.948,0.875,65.301,0.938,0.23,0.638,1.778,1.227,1.347,0.375,0.74,0.26,0.208,1.856,54.0
Malaysia,6.012,0.079,6.17,5.853999999999999,10.169,0.799,65.662,0.877,0.16,0.758,1.778,1.665,1.155,0.385,0.659,0.222,0.122,1.804,55.0
Portugal,5.968,0.055,6.078,5.858,10.429,0.878,71.25,0.902,-0.196,0.878,1.778,1.758,1.356,0.537,0.693,0.031,0.037,1.556,56.0
South Korea,5.951,0.045,6.0409999999999995,5.861,10.693,0.812,73.65,0.717,-0.046,0.701,1.778,1.853,1.188,0.603,0.446,0.112,0.163,1.587,57.0
Greece,5.931,0.048,6.027,5.835,10.288,0.835,71.15,0.568,-0.24,0.793,1.778,1.708,1.247,0.535,0.248,0.008,0.097,2.089,58.0
Mauritius,5.902,0.057,6.016,5.788,9.957,0.888,63.85,0.813,-0.028,0.775,1.778,1.589,1.382,0.336,0.574,0.121,0.11,1.79,59.0
Thailand,5.843,0.064,5.971,5.715,9.751,0.874,68.45,0.85,0.289,0.91,1.778,1.515,1.344,0.461,0.624,0.291,0.013,1.594,60.0
